country_name,year,civicus_score,civicus_rating
Kenya,2024,37.0,Repressed
Kenya,2025,31.14,Repressed
Kiribati,2023,86.07,Open
Kiribati,2024,91.0,Open
Kiribati,2025,100.0,Open
Kosovo,2023,71.43,Narrowed
Kosovo,2024,62.0,Narrowed
Kosovo,2025,67.0,Narrowed
Kuwait,2022,34.97,Repressed
Kuwait,2023,32.34,Repressed
Kuwait,2024,27.0,Repressed
Kuwait,2025,27.97,Repressed
Kyrgyzstan,2023,39.67,Repressed
Kyrgyzstan,2024,36.0,Repressed
Kyrgyzstan,2025,32.19,Repressed
Laos,2023,6.39,Closed
Laos,2024,6.0,Closed
Laos,2025,5.42,Closed
Latvia,2023,89.3,Open
Latvia,2024,86.0,Open
Latvia,2025,85.58,Open
Lebanon,2023,46.78,Obstructed
Lebanon,2024,44.0,Obstructed
Lebanon,2025,50.0,Obstructed
Lesotho,2023,52.39,Obstructed
Lesotho,2024,52.0,Obstructed
Lesotho,2025,59.67,Obstructed
Liberia,2023,48.92,Obstructed
Liberia,2024,63.0,Narrowed
Liberia,2025,54.84,Obstructed
Libya,2023,29.39,Repressed
Libya,2024,28.0,Repressed
